"message_id","user_id","user_is_bot","user_first_name","chat_id","chat_type","text","date","context_date"
"10","8343375342","false","Marina","-1002423405103","supergroup","Oi pessoal","1754080336","2025-08-01"
"11","8343375342","false","Marina","-1002423405103","supergroup","Hora de testar a integração  entre API e bots do telegram","1754080364","2025-08-01"
"12","8343375342","false","Marina","-1002423405103","supergroup","Vamo que vamo","1754080370","2025-08-01"
"13","8343375342","false","Marina","-1002423405103","supergroup","Parece que está dando certo 💃💃💃","1754080425","2025-08-01"
"14","8343375342","false","Marina","-1002423405103","supergroup","Uhuuu","1754080430","2025-08-01"
